Learner Outcome,Competency,Description,Component Skill,Emerging,Developing,Proficient,Applying
Holders of Foundational Knowledge,Governments (FK.SS.1),"Understand governments. Cultivate, refine, and leverage perspectives on how governments work and how they could be improved.",Role of government (FK.SS.1.a),"I can identify the roles, duties, and mechanisms of different governments across the world.","I can describe how different governments have taken root in different places, and how they reflect the thinking of influential thinkers (e.g., philosophers, lawyers, politicians, etc.).","I evaluate the outcomes of different governments and policies (at local, regional, national, and international levels) and how they are based on philosophical, historical, and legal precedents.","I advocate for more equitable policy and representation in local, regional, national, and international governments using philosophical, historical, and legal precedents."
Holders of Foundational Knowledge,Governments (FK.SS.1),,Rights of individuals (FK.SS.1.b),I can identify and describe the differences between various worldviews about the rights and duties of individuals.,"I can compare and contrast specific perspectives on the rights and duties of individuals found in philosophical, historical, and legal precedents.","I analyze and evaluate different perspectives on the rights and duties of individuals using supporting evidence of philosophical, historical, and legal precedents.","I advocate for the rights and duties of individuals using philosophical, historical, and legal precedents."
Holders of Foundational Knowledge,Governments (FK.SS.1),,Public policy (FK.SS.1.c),I can give examples of different instances where governments have established policies that had intended and unintended outcomes.,I can describe the intended and unintended outcomes of different past government policies and how they might have been implemented differently to improve outcomes.,I evaluate current public policies in terms of intended and unintended outcomes and related consequences.,I construct compelling arguments regarding the details of how various types of public policies should be developed to achieve optimal outcomes.
Holders of Foundational Knowledge,Politics (FK.SS.2),"Understand political and social power. See, utilize, and develop strategies to support and/or counteract various mechanisms of political and social power.",Influencing government (FK.SS.2.a),I can identify when and where I or others can influence governments or institutions.,I can investigate and describe mechanisms within governmental and social structures where pressure might produce change.,"I analyze mechanisms within governmental, social, and legal structures to identify where one could apply pressure to create change, and create associated plans and strategies.",I identify and practice exploiting mechanisms within governmental and other social structures where I am able to apply pressure to create change.
Holders of Foundational Knowledge,Politics (FK.SS.2),,Social movements (FK.SS.2.b),"I can describe key events, approaches, and outcomes of past social movements.",I can compare and contrast successful strategies from different social movements.,"I analyze patterns across historical and present-day social movements and revolutions to identify effective strategies, guiding beliefs, and levers of change.",I practice incorporating and/or utilizing strategies that have made past social movements successful by adapting and effectively communicating them to connect to current situations.
Holders of Foundational Knowledge,Politics (FK.SS.2),,Social equity (FK.SS.2.c),I can describe how power and privilege operate in a social context.,I can identify forms of privilege and oppression and describe their mechanisms.,"I analyze how current social movements seek to impact structures of power (e.g., laws, policies, NGOs) that influence expectations regarding different groups.","I analyze and compare complex differences between social groups and how privilege and oppression (e.g., racism, colonialism) are created within them."
Holders of Foundational Knowledge,Politics (FK.SS.2),,Economic equity (FK.SS.2.d),I can identify basic social and economic support systems in my community.,"I can describe local, regional, and national social and economic opportunities and their supporting structures.","I evaluate local, regional, and national social and economic opportunities/support systems (or the lack thereof), and describe the structures, politics, and policies that impact them.",I evaluate trends and practices regarding these support systems and advocate for how they might better meet community needs.
Holders of Foundational Knowledge,Economics (FK.SS.3),Understand economic forces. Leverage an understanding of economics and human relationships to physical resources.,Economic behavior (FK.SS.3.a),"I can describe supply, demand, competition, and rational actors in daily life.",I can describe marginal benefits and costs of specific economic decisions and how they vary by context.,"I analyze the outcomes and effectiveness of policies, structures, and incentives designed to affect individual and market behavior, including economic dependence/interdependence.","I analyze the unintended impacts of a variety of policies, structures, and incentives on economic behavior, and clearly communicate the causal links between them."
Holders of Foundational Knowledge,Economics (FK.SS.3),,Economic forces (FK.SS.3.b),"I can describe roles of institutions (corporations, non-profits, unions) and norms/laws (property rights, rule of law) in a market economy.","I can interpret data on employment, inflation/deflation, average income, production, and economic growth.",I evaluate the relevance and likely outcomes of different monetary and fiscal policies in various economic conditions.,I evaluate how different policies/incentives might be designed to optimize economic outcomes and advocate for improvements.
Holders of Foundational Knowledge,Economics (FK.SS.3),,Access to resources (FK.SS.3.c),"I can give examples of how societies have used physical surroundings (resources, geographic features) to support communities.",I can analyze and describe the impact of human settlement activities on environmental and ecological characteristics of places/regions.,I analyze relationships between human settlements and environmental/ecological characteristics to explain changes in economic activities and cultural norms.,"I investigate how economic globalization and resource use contribute to competition, cooperation, and violence within and among groups."
Holders of Foundational Knowledge,Economics (FK.SS.3),,Resource competition (FK.SS.3.d),"I can describe moments in history when groups competed, cooperated, or committed violence to obtain resources.","I can compare and contrast group relationships when competing, cooperating, or using violence for resources.",I analyze motives behind economic globalization and its relationship to resource use.,I evaluate how globalization and resource competition influence social and economic outcomes and propose strategies for equitable resource management.
Holders of Foundational Knowledge,Cultures (FK.SS.4),Understand different cultures. Explore and understand cultures other than my own.,Cultural difference (FK.SS.4.a),I can recognize and/or describe the cultural and linguistic likeness and difference between world cultures.,"I can distinguish and connect sub-units of historical, linguistic, and social likeness/difference between world cultures.","I analyze and synthesize the nuances and complexities of historical, linguistic, and social interactions between world cultures to help others understand and relate to them.",I apply my understanding of world cultures to advocate for my community or another community.
Holders of Foundational Knowledge,Cultures (FK.SS.4),,Social groupings (FK.SS.4.b),"I can define my social groups (race/ethnicity, nationality, etc.) in relation to my community, society, and the world.","I can define, organize, and connect my social groups and others in relation to community, society, and world.","I identify and articulate complex differences between and across groups within a community, society, and the world.",I analyze complex differences and idiosyncrasies between multiple world cultures to better understand how and why they came to be.
Holders of Foundational Knowledge,Cultures (FK.SS.4),,History and culture (FK.SS.4.c),"I can recognize core differences between cultures and, using historical methods (primary sources), explore their development across time and place.","I can use multiple sources to build interpretations of past events and categorize complex cultural concepts (assimilation, enculturation, diffusion).",I use historical methods of inquiry and locate/analyze multiple sources and cultural concepts to explain how culture and cultural systems function.,I apply historical methods of inquiry to defend interpretations that reconstruct the past and draw on that knowledge to inform present-day decisions.
Holders of Foundational Knowledge,Cultures (FK.SS.4),,Global connections (FK.SS.4.d),I can define global connection and interdependence.,"I can classify the effects (social, economic, political) of global connections (trade, migration, treaties) at local, national, and international levels.","I investigate and assess the costs and benefits of global connections and tensions between national interests and global priorities by thinking systematically about personal, national, and global decisions.","I apply historical and cultural concepts to address and evaluate critical issues such as peace, conflict, poverty, human rights, trade, and global ecology."
Holders of Foundational Knowledge,Artistic Expression (FK.AC.1),Express myself artistically. Produce and engage with creative and artistic expressions.,Power of art (FK.AC.1.a),"I can identify art, and describe how I experience it.",I can identify art and discuss it orally and in writing.,I describe and discuss how different pieces of art make me feel and/or what they make me think about.,"I analyze how specific artworks have been used by individuals/communities to express their ideas, experiences, feelings, and/or beliefs."
Holders of Foundational Knowledge,Artistic Expression (FK.AC.1),,Making art (FK.AC.1.b),I understand and can describe why people generate and conceptualize artistic ideas and works.,I can practice and improve my creative capacity in the arts.,"I conceptualize or draft an artistic work or idea that reflects or expresses my lived reality, ideas, or communities.","I perform, produce, or direct engaging artistic expressions through interpretation and presentation that reflect the lived realities and intellectual ideas of myself and/or my communities."
Holders of Foundational Knowledge,Artistic Expression (FK.AC.1),,Art and community (FK.AC.1.c),I can explore diverse forms and genres of artwork across different cultures and communities.,I can express appreciation for diverse forms/genres of artwork across different cultures/communities.,"I show appreciation and support (promotion, attendance, experience) for the arts in my local or others’ communities.",I collaborate and connect with others inside and outside my communities to curate and draft artwork that drives or represents social change and/or community values.
Holders of Foundational Knowledge,Art history (FK.AC.2),Appreciate art and art history. Explore and understand current and historical arts and artistic movements.,Art history (FK.AC.2.a),I can describe current and historical works of art and artistic movements and find specific examples that interest me.,I can perform artistic and historical research and analysis to explore how and why specific pieces of art were made.,"I analyze and describe stylistic characteristics (choices, materials, techniques) of historical artworks and movements.","I compare, contrast, and classify historical and contemporary artistic concepts, styles, and techniques to place works in a larger context."
Holders of Foundational Knowledge,Art history (FK.AC.2),,Trends in art (FK.AC.2.b),"I can identify art from varied historical periods (e.g., Prehistoric, Baroque) and movements (e.g., Modern, Impressionist).","I can compare and contrast art from varied periods and movements, and give examples of influences by social/political/environmental contexts.","I formulate sociological, cultural, and/or literary explorations and analyses of artworks from varied historical periods or movements.",I evaluate artistic ideas and works in terms of their external context to synthesize patterns and relationships between the arts and other forms of knowledge.
Holders of Foundational Knowledge,Art history (FK.AC.2),,Art and society (FK.AC.2.c),"I can recognize the roles and impacts that artworks, art forms, or movements can have on different communities.","I can give examples of relationships between artworks/art movements and communities’ religions, myths, politics, languages, ideologies.",I analyze the role and impact artworks/art forms have on different communities.,"I evaluate local, regional, and national art trends and practices and identify where one could create an artwork that seeks to create positive social change within a community or society."
Masters of All Fundamental Literacies,Making Meaning (FL.ID.1),Interpret information from many sources. Interpret meaning from a variety of information sources.,Synthesizing information (FL.ID.1.a),I can gather relevant information from varied domains and multiple sources.,"I can gather, read, and organize information from varied domains and multiple sources.","I curate, read, and synthesize information from varied domains and multiple sources to understand a broader picture.",I synthesize and evaluate information from varied domains and sources to understand a broader picture and compare interpretations.
Masters of All Fundamental Literacies,Making Meaning (FL.ID.1),,Formulating questions (FL.ID.1.b),I can articulate why I am asking a question and how it will lead to deeper understanding.,I can describe how different potential questions might yield different answers relevant to my understanding.,I consider potential questions and prioritize my framing to ensure they are relevant and well-sequenced.,I determine how answers address my original questions and adjust or develop new ones to fill gaps.
Masters of All Fundamental Literacies,Making Meaning (FL.ID.1),,Evaluating information (FL.ID.1.c),I can describe possible meanings or interpretations of unclearly presented information.,I can analyze grammatical structures and context to pick the most likely interpretation.,I evaluate the broader implications of the most likely meanings to refine my understanding.,I evaluate how the quality and clarity of information affect the rigor of my interpretations.
Masters of All Fundamental Literacies,Persuasive Communication (FL.ID.2),"Inform and persuade others. Inform and persuade diverse audiences by illustrating ideas, experiences, and information.",Knowing my audience (FL.ID.2.a),I can recognize and describe how a specific audience may perceive the same information differently.,"I can anticipate how different audiences will interpret my communications and adjust tone, pace, and emotions accordingly.","I anticipate how diverse audiences will interpret my message and tailor content (tone, media, strategy) to meet their needs.","I make language choices and delivery styles that convey respect, empathy, and compassion for my audiences."
Masters of All Fundamental Literacies,Persuasive Communication (FL.ID.2),,Crafting narrative (FL.ID.2.b),I can recognize and describe how a piece of information or story is relevant to a topic and how audiences might interpret it.,I can choose words and strategies to convey key details based on audience and purpose.,I create and clearly describe connections between disparate pieces of information to build narratives and arguments.,"I share and connect key messages in an engaging, purposeful manner with style and tone suited to my audience."
Masters of All Fundamental Literacies,Persuasive Communication (FL.ID.2),,Deploying communication media (FL.ID.2.c),I can select and use appropriate resources and media to tell a story.,I can apply specific techniques within digital resources to enhance understanding of stories and ideas.,I utilize diverse tools and resources to communicate complex messages across contexts.,I skillfully utilize an array of tools and media formats to tell stories that build interest across contexts.
Masters of All Fundamental Literacies,Critical Dialogue(FL.ID.3),"Make and support arguments. Create arguments, support my claims, and engage in critical dialogue.",Reasoning(FL.ID.3.a),"I can describe the steps someone else took to get an answer or reach a conclusion, and can identify when I get lost or can’t make sense of what they are saying.",I can explain my reasoning and question others’ reasoning in a way that generates further discussion.,I question my own and others’ reasoning to help myself and others consider different perspectives and clarify arguments and/or models.,I explore what may be true by questioning my own and others’ reasoning in a curious and kind manner.
Masters of All Fundamental Literacies,Critical Dialogue(FL.ID.3),,Explaining my reasoning(FL.ID.3.b),I can explain my reasoning both on paper and orally.,"I can explain my reasoning both on paper and orally, and clearly describe how that reasoning impacts the issue being discussed.",I effectively and concisely explain my reasoning and respond to clarifying questions (both orally and in written forms) in a way that makes sense to the person asking the questions.,"When I explain my reasoning orally or in writing to other students, it helps them deepen their understanding and/or understand something that they didn’t already understand."
Masters of All Fundamental Literacies,Critical Dialogue(FL.ID.3),,Using evidence(FL.ID.3.c),"I can describe types and examples of evidence that would or would not justify a claim (e.g., thesis, conclusion, solution, hypothesis).",I can consider evidence to make a claim and then justify my reasoning.,"I use evidence and reasoning (properties, laws, and prior results) to design and justify claims (e.g., thesis, conclusion, solution, hypothesis).",I clearly explain how evidence both supports causal links and detracts from alternate possible explanations to justify a claim.
Masters of All Fundamental Literacies,Critical Dialogue(FL.ID.3),,Constructive critique(FL.ID.3.d),"I can recognize and articulate when someone else’s communication is incomplete, incorrect, or unclear.","I can articulate ways to improve someone else’s communication that is incomplete, incorrect, or unclear.",I recognize situations when it is appropriate to provide critical feedback.,"I recognize situations when it is helpful to critique the way in which an idea is presented, and do so in a way that contributes to my and others’ understanding."
Masters of All Fundamental Literacies,Computational Thinking (FL.MST.1),Use math to solve problems. Use mathematical tools and computational thinking to solve problems strategically.,Expressing equivalencies (FL.MST.1.a),"I can represent the same quantity in multiple ways (e.g., equivalent expressions, visual representations).",I can formulate and rewrite expressions and equations as equivalent forms to solve them.,I recognize and use equivalence to solve non-routine problems.,I use mathematical tools to establish and leverage equivalence between quantities expressed in multiple ways to solve problems efficiently.
Masters of All Fundamental Literacies,Computational Thinking (FL.MST.1),,Analyzing patterns (FL.MST.1.d),I can notice when calculations or strategies repeat in solving problems.,"When processes repeat in problem solving, I investigate why.","When repetition occurs, I analyze and describe why.","I analyze regularity and repeated reasoning to identify general methods, shortcuts, and an appropriate degree of precision."
Masters of All Fundamental Literacies,Computational Thinking (FL.MST.1),,Tool selection (FL.MST.1.b),"I can choose appropriate tools (formulas, functions, number properties) and concepts to derive a solution.",I can use and adapt mathematical and computational tools for solving problems in a given context.,I redefine problems to be solvable with mathematical/computational tools and adapt combinations for efficiency.,"I use mathematical and computational tools, concepts, and processes to support and refine claims and justify solutions."
Masters of All Fundamental Literacies,Computational Thinking (FL.MST.1),,Checking results (FL.MST.1.e),I can recognize when I think I am done solving a problem.,I can check my results using a different method.,I routinely check results with different methods and connect among strategies.,I habitually check results for sense-making using alternate methods and connections.
Masters of All Fundamental Literacies,Computational Thinking (FL.MST.1),,Problem simplification (FL.MST.1.c),I can describe a simpler form(s) of an original problem.,I can try special cases and simpler forms to gain insight.,I use special cases and simpler forms to determine how to solve the original problem.,I use special cases and simpler forms of problems to gain insight into their solutions and consider analogous problems.
Masters of All Fundamental Literacies,Computational Thinking (FL.MST.1),,Using algorithms (FL.MST.1.f),"I can express a set of step-by-step instructions (algorithm) via prose, flowcharts, code, or oral language.",I can create and present an algorithm that explains how to solve a problem.,I create and present an algorithm in various formats and languages.,I recontextualize processes with documentation so others can adapt the algorithm for their purposes.
Masters of All Fundamental Literacies,Mathematical Modeling (FL.MST.2),"Use math to make predictions. Mathematize situations, create and manipulate mathematical models to understand phenomena and make  predictions.",Understanding models (FL.MST.2.a),I can describe and understand outputs and key elements of a given model.,"I can test and choose models by comparing outcomes with real data, describing where they fit well or less well.","I create models appropriate for a problem, evaluate how they represent reality, and communicate ideas for improvement.","I create, test, compare, and revise mathematical models to make them as clear, complete, and accurate as possible."
Masters of All Fundamental Literacies,Mathematical Modeling (FL.MST.2),,Identifying variables (FL.MST.2.b),I can identify some of the quantities in a situation being modeled.,I can identify and describe the impact of at least one assumption behind a model.,"I choose and define quantities wisely, ask clarifying questions, and annotate relationships clearly.",I identify the quantities and variables of interest and represent the structure of their relationships with appropriate labels.
Masters of All Fundamental Literacies,Mathematical Modeling (FL.MST.2),,Explaining models (FL.MST.2.c),"I can share some initial, partially clear ideas about a model’s assumptions.",I can identify and describe the impact of at least one assumption behind a model.,"I identify and articulate assumptions and limitations, describing their impact on reliability.",I clearly identify and justify assumptions and create strategies to reduce potential deviations.
Masters of All Fundamental Literacies,Mathematical Modeling (FL.MST.2),,Using models (FL.MST.2.d),I can use a model to provide partial solutions or predictions.,I can use models to yield reasonable predictions and justify calculations.,I clearly state a model’s implications and ensure predictions make sense in context.,I use models to explain and justify a prediction or solution in a way that makes sense to stakeholders.
Masters of All Fundamental Literacies,Interpreting Data (FL.MST.3),"Use data to explain relationships. Work with quantitative data to understand, represent, and predict relationships.",Data tools (FL.MST.3.a),"I can apply simple statistics and probability to interpret simple data sets, revealing patterns.","I can use data science tools (fits, slope, correlation) to analyze and interpret data sets for patterns and links.",I use data science tools to analyze large/complex data sets to provide evidence for correlational and causal relationships and make predictions.,"I clean and analyze data using tools/models to make valid, reliable scientific claims or optimal design solutions."
Masters of All Fundamental Literacies,Interpreting Data (FL.MST.3),,Data quality (FL.MST.3.b),I can compare and contrast data collected by different groups and discuss similarities/differences.,"I can consider and describe limitations of my data and analysis (e.g., measurement error).","I address data limitations, including cleaning large data sets, when using quantitative data to support claims and design solutions.",I quantify and explain possible errors and limitations of my analysis.
Masters of All Fundamental Literacies,Interpreting Data (FL.MST.3),,Data visualization (FL.MST.3.c),I can represent data in tables and simple graphs to reveal patterns.,I can create simple data visualizations to communicate patterns and possible links.,I use digital tools to create data visualizations that accurately represent correlational and causal links.,"I create data visualizations useful for communicating relationships to a specific audience, context, and purpose."
Masters of All Fundamental Literacies,Scientific Investigation (FL.MST.4),Explore questions using scientific concepts. Plan and conduct powerful investigations exploring and using scientific concepts.,Testing variables (FL.MST.4.a),I can identify independent and dependent variables and experimental controls.,"With guidance or collaborators, I can plan an investigation accounting for variables and constraints.",I conduct investigations individually and in groups to produce evidence and evaluate design controls.,"I design and conduct investigations, generate data as evidence, and seek feedback on my methods and claims."
Masters of All Fundamental Literacies,Scientific Investigation (FL.MST.4),,Collecting data (FL.MST.4.b),I can identify tools for collecting data and how observations will be recorded.,I can explain how experiments or tests produce relevant data as evidence.,I apply scientific reasoning to evaluate data-collection methods and describe why evidence is adequate for explanations or conclusions.,"I consider different approaches for reliable data collection, accounting for precision, cost, risk, and relevance."
Masters of All Fundamental Literacies,Scientific Investigation (FL.MST.4),,Modeling systems (FL.MST.4.c),I can explain a system as composed of smaller parts and identify some of them.,"I can investigate a system by defining boundaries, initial conditions, inputs, and outputs.","I use models to simulate flows, interactions, and changes within and between systems at different scales.",I use models and simulations to predict system behavior and describe precision and reliability limitations.
Masters of All Fundamental Literacies,Scientific Investigation (FL.MST.4),,Understanding causality (FL.MST.4.d),I can describe the difference between causal and correlational relationships and recognize when a claim implies each.,I can analyze how different causal and correlational relationships might be used to predict phenomena in systems.,I set up experiments to differentiate between cause and correlation and support claims about specific causes and effects.,I improve experiment design to gather empirical evidence of causality by making a change to a single component and examining the result.
Original Thinkers for an Uncertain World,Creative Process(OT.Creat.1),Seek and develop new concepts. Generate new and novel ideas.,Asking questions (OT.Creat.1.a),"I can identify when a question is complex, and explain why.",I can create complex questions about the world and people around me.,"I create and investigate my own authentic, complex questions about the world and people around me.","I create and investigate my own authentic, complex questions about the world and people around me and describe what I don’t know about the possible answer(s)."
Original Thinkers for an Uncertain World,Creative Process(OT.Creat.1),,Connecting relevant ideas (OT.Creat.1.b),I can recognize when an existing idea is relevant to a question I am asking.,I can describe connections between two or more existing ideas.,I modify and/or combine two or more ideas to create a relevant new idea.,I modify and/or combine two or more existing ideas to meaningfully connect them to purposes or ideas within unexpected or different contexts.
Original Thinkers for an Uncertain World,Creative Process(OT.Creat.1),,Innovative thinking (OT.Creat.1.c),I can contribute to a climate where risk taking is encouraged and failure/setbacks are not derided.,I can try a new idea or innovate on a former idea even when I’m unsure of the outcome.,"I try a new idea or innovate on a former idea (privately and/or publicly) even when I’m unsure of the outcome, and engage in self-reflection about how I felt.","I try new ideas and innovate on former ideas (privately and publicly) even when I’m unsure of the outcome, and engage in a self-reflection and evaluation process to reinforce my ability to take productive risks."
Original Thinkers for an Uncertain World,Creative Process(OT.Creat.1),,Creating original works (OT.Creat.1.d),I can modify the creations of others to make something new.,I can produce original creations that are personally meaningful.,I produce original creations that express and build upon a concept and/or idea.,"I produce original creations that express, build upon, and/or transform a point of view, concept, and/or idea, and describe the influences that are present in my creations."
Original Thinkers for an Uncertain World,Sharing Ideas(OT.Creat.2),Put forward new concepts. Share generative and creative ideas and original works with others.,Seeking feedback (OT.Creat.2.a),I can gain new insights on specific ideas and work by sharing them with people and describing their response.,I can gain new insights on specific ideas and work by asking helpful questions of a targeted and relevant audience.,I gain new insights on specific ideas and work by sharing them openly and asking open-ended questions with varied audiences.,"I intentionally pursue numerous opportunities to solicit feedback from varied audiences when considering a new idea, and explain my process for considering and/or incorporating that feedback."
Original Thinkers for an Uncertain World,Sharing Ideas(OT.Creat.2),,Ideas for impact (OT.Creat.2.b),I can describe the impact that I want my ideas and creative work to have on others.,"I can describe the impact that others’ ideas and creative work have had on me, and why.","I interrogate the impact that my ideas and creative work might have on others, and consider why it might impact some people differently.","Based on my knowledge of diverse backgrounds and perspectives, I analyze how my creative work may impact others and consider this insight when sharing my work."
Original Thinkers for an Uncertain World,Sharing Ideas(OT.Creat.2),,Ideas in context (OT.Creat.2.c),"I can effectively describe the social conventions, norms, and expectations that exist around a certain idea or situation.",I can apply a synthesis of perspectives to develop ideas that challenge and/or refine cultural and social norms.,"I share ideas and creations that challenge and/or refine accepted norms, social conventions, and/or the work of others.","I justify how an idea or creation could challenge and/or refine accepted norms, social conventions, and/or the work of others, and the benefit it offers to the field or the greater good."
Original Thinkers for an Uncertain World,Interpreting Information(OT.Crit.1),Understand and assess evidence. Understand and manage information.,Extracting ideas (OT.Crit.1.a),"I can name some ideas represented in information, research, and data.","I can identify the main ideas represented in information, research, and data.","I accurately identify the main ideas represented in information, research, and data across domains.","I accurately identify the main and supporting ideas and their relationships represented in information, research, and data."
Original Thinkers for an Uncertain World,Interpreting Information(OT.Crit.1),,Relevance (OT.Crit.1.b),I can identify information that is connected to my central idea or question.,I can recognize when information is relevant to my central idea or question.,I evaluate how relevant information is (or is not) to my central idea or question.,I evaluate and justify how relevant information is to my central idea or question so that I select the most relevant pieces when necessary.
Original Thinkers for an Uncertain World,Interpreting Information(OT.Crit.1),,Information management (OT.Crit.1.c),I can capture information that I find so that I might use it in the future.,"I can use a strategy to support effectively organizing, managing, and analyzing information (e.g., spreadsheets, flow charts, etc.).","I determine context-appropriate strategies to support effectively organizing, managing, and analyzing information.",I determine context-appropriate strategies and adapt them as needed to suit both the information in this specific context and my purpose.
Original Thinkers for an Uncertain World,Logical Thinking(OT.Crit.2),Analyze assumptions and reasoning. Recognize and analyze reasoning and assumptions behind my own and others’.,Language and evidence (OT.Crit.2.a),I can describe language choices and supporting evidence within others’ arguments.,"I can describe logical connections and potential contexts, perspectives, and assumptions within arguments and supporting evidence.","I analyze, evaluate, compare, and critique logic, language, context, perspectives, and assumptions within my own and others’ arguments and supporting evidence.","I clearly describe the impact of specific logic, language, contexts, perspectives, and assumptions within my own and others’ arguments and supporting evidence."
Original Thinkers for an Uncertain World,Logical Thinking(OT.Crit.2),,Identifying bias (OT.Crit.2.b),I can name what I see as bias in a claim when evaluating its credibility.,I can examine the reliability and credibility of claims when evaluating them for precision/accuracy.,"I evaluate the authenticity, credibility, and potential biases of resources and arguments (whether scientific, technical, historical, etc.).","I determine the strengths and weaknesses of claims, resources, and arguments by describing their evidence, assertions, assumptions, and potential biases."
